id,name
1,An Giang
2,Ba Ria - Vung Tau
3,Bac Giang
4,Bac Kan
5,Bac Lieu
6,Bac Ninh
7,Ben Tre
8,Binh Dinhnh
9,Binh Duong
10,Binh Phuoc
11,Binh Thuan
12,Ca Mau
13,Can Tho
14,Cao Bang
15,Da Nang
16,Dak Lak
17,Dak Nong
18,Dien Bien
19,Dong Nai
20,Dong Thap
21,Gia Lai
22,Ha Giang
23,Ha Nam
24,Ha Noi
25,Ha Tinh
26,Hai Duong
27,Hai Phong
28,Hau Giang
29,Hoa Binh
30,Hung Yen
31,Khanh Hoa
32,Kien Giang
33,Kon Tum
34,Lai Chau
35,Lang Son
36,Lao Cai
37,Lam Dong
38,Long An
39,Nam Dinh
40,Nghe An
41,Ninh Binh
42,Ninh Thuan
43,Phu Tho
44,Phu Yen
45,Quang Binh
46,Quang Nam
47,Quang Ngai
48,Quang Ninh
49,Quang Tri
50,Soc Trang
51,Son La
52,Tay Ninh
53,Thai Binh
54,Thai Nguyen
55,Thanh Hoa
56,Thua Thien Hue
57,Tien Giang
58,TP Ho Chi Minh
59,Tra Vinh
60,Tuyen Quang
61,Vinh Long
62,Vinh Phuc
63,Yen Bai
